
Excellent! Now with the **complete ZauqAPI documentation**, I'll create a **comprehensive REST API test cases list** covering **all scenarios** for automation. This is a production-grade test suite.

---

# 📋 ZAUQAPI - Complete REST API Test Cases for Automation

## Test Case Structure
Each test case includes:
- **TC-ID**: Unique identifier
- **Category**: API module
- **Scenario**: What is being tested
- **Method & Endpoint**
- **Preconditions** (auth, data setup)
- **Test Data** (payload)
- **Expected Status Code**
- **Expected Response Validation**
- **Post-actions** (cleanup)

---

## 🔐 1. AUTHENTICATION APIs (8 endpoints)

| TC-ID | Scenario | Method | Endpoint | Preconditions | Test Data | Expected Status | Expected Response | Post-Action |
|-------|----------|--------|----------|---------------|-----------|-----------------|-------------------|-------------|
| AUTH-001 | Register new user - success | POST | `/api/auth/register` | None | `{ "name": "Test User", "email": "test@example.com", "password": "Test@123", "confirmPassword": "Test@123" }` | 201 Created | `success: true, user: { id, email, role: "user" }, token` | Delete user |
| AUTH-002 | Register - duplicate email | POST | `/api/auth/register` | User exists | Same as AUTH-001 | 409 Conflict | `error: "Email already exists"` | None |
| AUTH-003 | Register - weak password | POST | `/api/auth/register` | None | `{ "email": "weak@test.com", "password": "123" }` | 400 Bad Request | `errors: [{ field: "password", message: "Password must be at least 6 characters" }]` | None |
| AUTH-004 | Register - missing required fields | POST | `/api/auth/register` | None | `{ "email": "test@example.com" }` | 400 Bad Request | `errors: ["name is required", "password is required"]` | None |
| AUTH-005 | Register - invalid email format | POST | `/api/auth/register` | None | `{ "name": "Test", "email": "invalid-email", "password": "Test@123" }` | 400 Bad Request | `errors: [{ field: "email", message: "Invalid email format" }]` | None |
| AUTH-006 | Register - password mismatch | POST | `/api/auth/register` | None | `{ "name": "Test", "email": "test@test.com", "password": "Test@123", "confirmPassword": "Different@123" }` | 400 Bad Request | `error: "Passwords do not match"` | None |
| AUTH-007 | Login - valid credentials | POST | `/api/auth/login` | Registered user | `{ "email": "test@example.com", "password": "Test@123" }` | 200 OK | `token, refreshToken, user: { id, email, role }` | None |
| AUTH-008 | Login - wrong password | POST | `/api/auth/login` | Registered user | `{ "email": "test@example.com", "password": "WrongPass@123" }` | 401 Unauthorized | `error: "Invalid credentials"` | None |
| AUTH-009 | Login - non-existent email | POST | `/api/auth/login` | None | `{ "email": "nonexistent@test.com", "password": "Test@123" }` | 401 Unauthorized | `error: "Invalid credentials"` | None |
| AUTH-010 | Login - empty fields | POST | `/api/auth/login` | None | `{ "email": "", "password": "" }` | 400 Bad Request | `errors: ["email is required", "password is required"]` | None |
| AUTH-011 | Login - SQL injection attempt | POST | `/api/auth/login` | None | `{ "email": "' OR '1'='1", "password": "' OR '1'='1" }` | 401 Unauthorized | No SQL error exposed | None |
| AUTH-012 | Logout - valid token | POST | `/api/auth/logout` | Authenticated user | None (Bearer token) | 200 OK | `success: true, message: "Logged out successfully"` | Token invalidated |
| AUTH-013 | Logout - no token | POST | `/api/auth/logout` | None | None | 401 Unauthorized | `error: "No token provided"` | None |
| AUTH-014 | Logout - invalid token | POST | `/api/auth/logout` | None | Invalid Bearer token | 403 Forbidden | `error: "Invalid or expired token"` | None |
| AUTH-015 | Get current user (me) | GET | `/api/auth/me` | Authenticated user | None (Bearer token) | 200 OK | `user: { id, email, name, role, createdAt }` | None |
| AUTH-016 | Get me - no token | GET | `/api/auth/me` | None | None | 401 Unauthorized | `error: "No token provided"` | None |
| AUTH-017 | Forgot password - valid email | POST | `/api/auth/forgot-password` | Registered user | `{ "email": "test@example.com" }` | 200 OK | `success: true, message: "Reset email sent"` | Check email |
| AUTH-018 | Forgot password - invalid email | POST | `/api/auth/forgot-password` | None | `{ "email": "fake@test.com" }` | 404 Not Found | `error: "User not found"` | None |
